City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Atambua,ID,73.65,light rain,-9.1061,124.8925,Hotel Matahari
15,Pontianak,ID,76.98,overcast clouds,-0.0333,109.3333,Golden Tulip Hotel
17,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le Baril
18,Richards Bay,ZA,70.29,overcast clouds,-28.783,32.0377,Protea Hotel
19,Georgetown,MY,79.95,few clouds,5.4112,100.3354,Page 63 hostel
23,Ponta Do Sol,PT,72.72,light rain,32.6667,-17.1,Estalagem Ponta do Sol
30,Vao,NC,76.57,scattered clouds,-22.6667,167.4833,Nataiwatch
32,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,Ibis Styles
35,Rikitea,PF,77.14,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
39,Hermanus,ZA,71.8,clear sky,-34.4187,19.2345,Aloe guest house
43,Chabahar,IR,71.33,broken clouds,25.2919,60.643,هتل سپیده
45,Atuona,PF,77.7,clear sky,-9.8,-139.0333,Pearl Resort
46,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
51,Hithadhoo,MV,81.12,broken clouds,-0.6,73.0833,Pebbles Inn
53,Itarema,BR,85.86,overcast clouds,-2.9248,-39.9167,Pousada Oásis
54,Kang,BW,75.85,scattered clouds,-23.6752,22.7876,Nkisi Guest House
55,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti International Resort
59,Port-Gentil,GA,85.96,light rain,-0.7193,8.7815,Tara-Mé
61,Cape Town,ZA,78.35,clear sky,-33.9258,18.4232,Townhouse Hotel
65,Nha Trang,VN,73.4,overcast clouds,12.25,109.1833,Den Long Đỗ
67,Bengkulu,ID,74.01,overcast clouds,-3.8004,102.2655,Dena Hotel
69,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Posada San Jose
70,Gizo,SB,81.34,overcast clouds,-8.103,156.8419,Gizo Hotel
72,Alice Springs,AU,78.35,overcast clouds,-23.7,133.8833,Aurora Alice Springs
80,Castro,BR,80.98,clear sky,-24.7911,-50.0119,Hotel Central Palace
85,Cidreira,BR,77.9,clear sky,-30.1811,-50.2056,Hotel Castelo
86,Yulara,AU,84.33,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
89,Bathsheba,BB,83.01,light rain,13.2167,-59.5167,Atlantis Hotel
90,Broken Hill,AU,81.39,few clouds,-31.95,141.4333,Ibis Styles
94,Santo Domingo,DO,87.44,broken clouds,18.5001,-69.9886,Hotel Villa Campo
96,Lethem,GY,89.49,broken clouds,3.3803,-59.7968,Hotel Amazonas
99,San Cristobal,VE,75.38,few clouds,7.7669,-72.225,Terra Sur
100,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Grand Bel Air
102,Lorengau,PG,80.47,broken clouds,-2.0226,147.2712,Seeadler Bay Hotel
106,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
110,Sambava,MG,76.62,clear sky,-14.2667,50.1667,Royal Sava Hôtel
111,Port Elizabeth,ZA,72.1,broken clouds,-33.918,25.5701,Waterford Hotel
115,Kawalu,ID,73.29,overcast clouds,-7.3817,108.2082,Hotel Surya
119,Saldanha,ZA,86.05,few clouds,-33.0117,17.9442,Hoedjesbaai
123,Santa Isabel Do Rio Negro,BR,84.27,overcast clouds,-0.4139,-65.0192,Hotel Maikon
126,Isangel,VU,80.26,clear sky,-19.55,169.2667,Tanna Lodge
131,Bubaque,GW,80.94,overcast clouds,11.2833,-15.8333,Chez Julio
138,Vaitape,PF,81.18,broken clouds,-16.5167,-151.75,Oa Oa Lodge
139,Soyo,AO,79.34,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
144,Rawson,AR,86.2,few clouds,-43.3002,-65.1023,Hotel Deportivo
148,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
152,Faanui,PF,81.14,broken clouds,-16.4833,-151.75,Oa Oa Lodge
155,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Hotel SkylineInn
160,Conakry,GN,83.17,overcast clouds,9.538,-13.6773,Hotel del Fanta (sleazy but rooms for 100k or even less)
162,Talara,PE,84.96,scattered clouds,-4.5772,-81.2719,Hospedaje El Aypate
163,Savalou,BJ,85.68,scattered clouds,7.9281,1.9756,BENIN CALYPSO Hôtel
165,Tshikapa,CD,71.47,moderate rain,-6.4167,20.8,Hôtel TSHAMUNTU
169,Namatanai,PG,80.67,light rain,-3.6667,152.4333,Namatanai Hotel
171,Santa Vitoria Do Palmar,BR,80.49,clear sky,-33.5189,-53.3681,Hotel Brasil
175,Diego De Almagro,CL,79.39,overcast clouds,-26.3667,-70.05,Residencial Hambyll
176,Polewali,ID,75.79,overcast clouds,-3.4324,119.3435,hotel perdana
183,Port Blair,IN,78.84,haze,11.6667,92.75,Andaman Ocean Breeze
189,Guaruja,BR,78.84,broken clouds,-23.9931,-46.2564,Pousada
196,Mildura,AU,81.59,broken clouds,-34.2,142.15,Chaffey Motor Inn
222,Cabo San Lucas,MX,75.51,clear sky,22.8909,-109.9124,Comfort Rooms
228,Kavieng,PG,81.07,scattered clouds,-2.5744,150.7967,Kavieng Hotel
