City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gurupa,BR,-1.405,-51.64,90.55,48,97,4.07,overcast clouds
1,Mantua,IT,45.1667,10.7833,50.99,89,100,1.01,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,51.46,62,75,6.91,light rain
3,Torbay,CA,47.6666,-52.7314,43.57,94,100,28.77,light intensity drizzle
4,Norman Wells,CA,65.282,-126.8329,-11.16,77,75,3.44,broken clouds
5,Punta Arenas,CL,-53.15,-70.9167,59.02,58,0,14.97,light rain
6,Tambo,PE,-14.8,-73.9167,42.12,75,100,9.19,light rain
7,New Norfolk,AU,-42.7826,147.0587,60.93,65,18,2.39,few clouds
8,Atambua,ID,-9.1061,124.8925,73.65,90,100,6.4,light rain
9,Darhan,MN,49.4867,105.9228,-13.4,100,63,4.18,broken clouds
10,Hilo,US,19.7297,-155.09,68.61,84,75,5.75,broken clouds
11,Sturgeon Bay,US,44.8342,-87.377,32.4,86,100,5.75,overcast clouds
12,Shizunai,JP,42.3339,142.3669,36.41,71,100,16.98,overcast clouds
13,Fairbanks,US,64.8378,-147.7164,2.61,77,100,0.0,overcast clouds
14,Sitka,US,57.0531,-135.33,40.89,87,100,6.91,light rain
15,Pontianak,ID,-0.0333,109.3333,76.98,83,100,4.61,overcast clouds
16,La Ronge,CA,55.1001,-105.2842,5.25,78,100,0.0,light snow
17,Saint-Philippe,RE,-21.3585,55.7679,76.59,77,48,3.51,scattered clouds
18,Richards Bay,ZA,-28.783,32.0377,70.29,73,95,4.09,overcast clouds
19,Georgetown,MY,5.4112,100.3354,79.95,82,20,6.91,few clouds
20,Hobart,AU,-42.8794,147.3294,61.27,85,20,4.61,few clouds
21,Tiksi,RU,71.6872,128.8694,-0.22,93,100,15.21,overcast clouds
22,Leh,IN,34.1667,77.5833,3.02,83,18,3.09,few clouds
23,Ponta Do Sol,PT,32.6667,-17.1,72.72,77,19,9.28,light rain
24,Kamenka,RU,51.3223,42.7678,33.03,99,100,12.21,overcast clouds
25,Longyearbyen,SJ,78.2186,15.6401,33.64,69,75,20.71,broken clouds
26,Batsfjord,NO,70.6345,29.7185,30.13,93,100,32.21,overcast clouds
27,Enna,IT,37.5588,14.2892,54.23,64,6,4.0,clear sky
28,Chadan,RU,51.2833,91.5833,-12.66,98,96,2.17,overcast clouds
29,Albany,US,42.6001,-73.9662,55.94,83,100,3.42,overcast clouds
30,Vao,NC,-22.6667,167.4833,76.57,80,28,25.68,scattered clouds
31,Busselton,AU,-33.65,115.3333,54.63,89,47,9.08,scattered clouds
32,Mount Isa,AU,-20.7333,139.5,76.77,83,95,10.36,overcast clouds
33,Vestmannaeyjar,IS,63.4427,-20.2734,35.76,78,95,17.94,overcast clouds
34,Biak,ID,-0.9131,122.8766,76.6,73,98,4.72,overcast clouds
35,Rikitea,PF,-23.1203,-134.9692,77.14,74,100,11.1,light rain
36,Kudahuvadhoo,MV,2.6708,72.8944,80.91,75,65,11.14,broken clouds
37,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,69,98,13.91,light rain
38,Talcahuano,CL,-36.7167,-73.1167,65.88,72,20,14.97,few clouds
39,Hermanus,ZA,-34.4187,19.2345,71.8,66,0,18.52,clear sky
40,Kulhudhuffushi,MV,6.6221,73.07,80.13,68,36,9.28,scattered clouds
41,Tura,IN,25.5198,90.2201,56.01,69,0,3.4,clear sky
42,Markivka,UA,49.5229,39.5705,35.56,86,58,7.96,broken clouds
43,Chabahar,IR,25.2919,60.643,71.33,48,56,7.9,broken clouds
44,Maneadero,MX,31.7167,-116.5667,59.11,86,30,3.6,scattered clouds
45,Atuona,PF,-9.8,-139.0333,77.7,67,6,15.99,clear sky
46,Puerto Ayora,EC,-0.7393,-90.3518,84.16,90,74,8.99,broken clouds
47,Praia Da Vitoria,PT,38.7333,-27.0667,52.05,82,20,17.02,light rain
48,Mataura,NZ,-46.1927,168.8643,46.04,98,79,2.13,broken clouds
49,Clyde River,CA,70.4692,-68.5914,-19.97,69,40,14.97,scattered clouds
50,Oriximina,BR,-1.7656,-55.8661,86.61,60,94,4.76,overcast clouds
51,Hithadhoo,MV,-0.6,73.0833,81.12,71,56,5.91,broken clouds
52,Rajapolah,ID,-7.221,108.1896,71.85,90,100,3.36,overcast clouds
53,Itarema,BR,-2.9248,-39.9167,85.86,57,94,18.37,overcast clouds
54,Kang,BW,-23.6752,22.7876,75.85,54,50,8.7,scattered clouds
55,Vaini,TO,-21.2,-175.2,75.36,94,75,2.3,light rain
56,Barrow,US,71.2906,-156.7887,1.42,85,100,8.05,light snow
57,Tasiilaq,GL,65.6145,-37.6368,-0.24,52,5,6.76,clear sky
58,Three Hills,CA,51.7001,-113.2686,19.47,85,100,5.75,overcast clouds
59,Port-Gentil,GA,-0.7193,8.7815,85.96,79,40,9.22,light rain
60,Saskylakh,RU,71.9167,114.0833,4.86,93,100,28.21,light snow
61,Cape Town,ZA,-33.9258,18.4232,78.35,60,0,17.0,clear sky
62,Thompson,CA,55.7435,-97.8558,5.16,78,75,3.44,broken clouds
63,Gusev,RU,54.5922,22.1997,51.13,90,100,15.46,overcast clouds
64,Esperance,AU,-33.8667,121.9,62.51,69,98,12.53,overcast clouds
65,Nha Trang,VN,12.25,109.1833,73.4,90,100,9.75,overcast clouds
66,Camacha,PT,33.0833,-16.3333,65.62,83,20,16.11,few clouds
67,Bengkulu,ID,-3.8004,102.2655,74.01,91,100,5.55,overcast clouds
68,Butaritari,KI,3.0707,172.7902,80.44,82,97,13.62,overcast clouds
69,Pochutla,MX,15.7432,-96.4661,85.82,46,68,6.93,broken clouds
70,Gizo,SB,-8.103,156.8419,81.34,76,100,6.71,overcast clouds
71,Bilma,NE,18.6853,12.9164,63.88,20,4,9.06,clear sky
72,Alice Springs,AU,-23.7,133.8833,78.35,61,90,0.0,overcast clouds
73,Cherskiy,RU,68.75,161.3,-47.45,100,69,3.33,broken clouds
74,Haines Junction,CA,60.7522,-137.5108,9.25,98,100,2.62,light snow
75,Katsuura,JP,35.1333,140.3,45.37,71,9,9.64,clear sky
76,Beloha,MG,-25.1667,45.05,73.78,80,86,11.68,overcast clouds
77,Sonoita,MX,31.85,-112.8333,64.2,54,10,9.37,clear sky
78,Mokrousovo,RU,55.8103,66.7653,-4.7,96,98,6.96,overcast clouds
79,Arlit,NE,18.7369,7.3853,68.23,14,53,9.06,broken clouds
80,Castro,BR,-24.7911,-50.0119,80.98,48,7,3.24,clear sky
81,Leningradskiy,RU,69.3833,178.4167,-32.44,97,17,5.64,few clouds
82,Elko,US,41.0002,-115.5012,33.82,95,100,10.0,snow
83,Jamestown,US,42.097,-79.2353,53.19,73,100,6.91,overcast clouds
